[1927] path_loss: 0.168, valid_len_loss: 40.628, std_loss: 0.098, lr: 0.0013417439768090844.
[1935] path_loss: 0.068, valid_len_loss: 38.274, std_loss: 0.087, lr: 0.0013062525540590286.
[1943] path_loss: 0.13, valid_len_loss: 42.0, std_loss: 0.064, lr: 0.0012711662566289306.
[1951] path_loss: 0.289, valid_len_loss: 42.546, std_loss: 0.041, lr: 0.0012364888098090887.
[1959] path_loss: 0.487, valid_len_loss: 44.212, std_loss: 0.086, lr: 0.0012022240553051233.
[1967] path_loss: 0.39, valid_len_loss: 43.507, std_loss: 0.065, lr: 0.0011683758348226547.
[1975] path_loss: 0.212, valid_len_loss: 46.119, std_loss: 0.083, lr: 0.0011349477572366595.
[1983] path_loss: 1.05, valid_len_loss: 53.466, std_loss: 0.164, lr: 0.0011019435478374362.
[1991] path_loss: 0.304, valid_len_loss: 52.323, std_loss: 0.105, lr: 0.0010693666990846395.
[1999] path_loss: 0.295, valid_len_loss: 60.049, std_loss: 0.19, lr: 0.0010372210526838899.
[2007] path_loss: 0.858, valid_len_loss: 44.342, std_loss: 0.188, lr: 0.0010055098682641983.
[2015] path_loss: 0.31, valid_len_loss: 53.817, std_loss: 0.133, lr: 0.0009742367547005415.
epoch0, file 290 / 1552
[2023] path_loss: 0.533, valid_len_loss: 77.807, std_loss: 0.122, lr: 0.0009434050880372524.
[2031] path_loss: 0.914, valid_len_loss: 81.356, std_loss: 0.109, lr: 0.000913018302526325.
[2039] path_loss: 0.572, valid_len_loss: 76.182, std_loss: 0.128, lr: 0.0008830797160044312.
[2047] path_loss: 0.408, valid_len_loss: 78.159, std_loss: 0.102, lr: 0.0008535925881005824.
[2055] path_loss: 0.465, valid_len_loss: 75.479, std_loss: 0.057, lr: 0.0008245601202361286.
[2063] path_loss: 0.245, valid_len_loss: 69.37, std_loss: 0.051, lr: 0.000795985572040081.
[2071] path_loss: 0.265, valid_len_loss: 67.727, std_loss: 0.036, lr: 0.0007678720285184681.
[2079] path_loss: 0.345, valid_len_loss: 69.685, std_loss: 0.058, lr: 0.0007402225746773183.
[2087] path_loss: 0.649, valid_len_loss: 66.649, std_loss: 0.089, lr: 0.0007130402373149991.
[2095] path_loss: 0.275, valid_len_loss: 70.965, std_loss: 0.055, lr: 0.000686328043229878.
[2103] path_loss: 1.175, valid_len_loss: 73.276, std_loss: 0.104, lr: 0.0006600889028050005.
[2111] path_loss: 1.321, valid_len_loss: 73.744, std_loss: 0.074, lr: 0.0006343256682157516.
[2119] path_loss: 1.235, valid_len_loss: 70.382, std_loss: 0.084, lr: 0.000609041191637516.
[2127] path_loss: 1.309, valid_len_loss: 70.143, std_loss: 0.062, lr: 0.0005842382088303566.
epoch0, file 306 / 1552
